cve_prod,new_med,lote,lugar,cve_monc,tip_cam,cto_ent,stalote,cve_tial,cse_prod,fact_peso,ind_med,existencia,cosprom,fech_venc,diasvida,cve_monc2,cto_ent2,peso_tot,desc_prod,codbar,uni_med,lista_med,des_lug,des_tial,otrodl1,otrodl2,desc_med
51PLCV01,,25D017,5,1,1,17.2,1,1,LINEA,0,0,45,24.88422358,30/04/2027,0,1,17.2,0,C-VYM NARANJA-MANDARINA C/11 SOBRES,7.50302E+12,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLCV03,,25D018,5,1,1,12.98,1,1,LINEA,0,0,27,21.9534163,30/04/2027,0,1,12.98,0,C-VYM CERO AZUCAR C/11 SOBRES,7.50302E+12,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX04,,25H016,5,1,1,51.85,1,1,LINEA,0,0,610,51.85,31/08/2027,0,1,51.85,0,FIBOTAX 10g C/30 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51TBTM05,,24K0278,5,1,1,0,1,1,LINEA,1,0,42,11.97309292,30/11/2027,0,1,0,42,TAMARIN-LX /45 CAPS.,7.50662E+12,PZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,2.30E+05,5,1,1,17.42,1,1,MAQUILA,0,0,5,18.99068596,31/05/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,2.30E+06,5,1,1,17.42,1,1,MAQUILA,0,0,5,22.55613356,31/05/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,2.30E+13,5,1,1,17.42,1,1,MAQUILA,0,0,13,24.13637937,31/05/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,2.30E+14,5,1,1,17.42,1,1,MAQUILA,0,0,12,18.96525299,31/05/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23F009,5,1,1,17.42,1,1,MAQUILA,0,0,8,16.5714711,30/06/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23F013,5,1,1,17.42,1,1,MAQUILA,0,0,6,16.06377458,30/06/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23F014,5,1,1,17.42,1,1,MAQUILA,0,0,12,15.95149692,30/06/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G002,5,1,1,17.42,1,1,MAQUILA,0,0,12,15.80452107,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G003,5,1,1,17.42,1,1,MAQUILA,0,0,30,17.61731523,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G005,5,1,1,17.42,1,1,MAQUILA,0,0,38,15.68514367,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G006,5,1,1,17.42,1,1,MAQUILA,0,0,4,15.8756019,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G007,5,1,1,17.42,1,1,MAQUILA,0,0,13,15.55311784,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G008,5,1,1,17.42,1,1,MAQUILA,0,0,15,16.07237286,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G009,5,1,1,17.42,1,1,MAQUILA,0,0,33,16.41252053,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G010,5,1,1,17.42,1,1,MAQUILA,0,0,32,15.744386,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G011,5,1,1,17.42,1,1,MAQUILA,0,0,32,15.744386,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G012,5,1,1,17.42,1,1,MAQUILA,0,0,17,16.29907397,30/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G013,5,1,1,17.42,1,1,MAQUILA,0,0,5,15.68539291,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G022,5,1,1,17.42,1,1,MAQUILA,0,0,17,15.80305983,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G023,5,1,1,17.42,1,1,MAQUILA,0,0,31,15.74372258,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G024,5,1,1,17.42,1,1,MAQUILA,0,0,21,15.80472111,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G027,5,1,1,17.42,1,1,MAQUILA,0,0,12,15.848007,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G028,5,1,1,17.42,1,1,MAQUILA,0,0,13,16.15336136,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G030,5,1,1,17.42,1,1,MAQUILA,0,0,7,15.69670498,31/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G038,5,1,1,17.42,1,1,MAQUILA,0,0,13,15.85959576,30/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G039,5,1,1,17.42,1,1,MAQUILA,0,0,34,16.23219566,30/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23G041,5,1,1,17.42,1,1,MAQUILA,0,0,5,15.90906038,30/07/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H001,5,1,1,17.42,1,1,MAQUILA,0,0,6,15.6787183,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H003,5,1,1,17.42,1,1,MAQUILA,0,0,13,15.87980563,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H004,5,1,1,17.42,1,1,MAQUILA,0,0,6,15.90286044,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H008,5,1,1,17.42,1,1,MAQUILA,0,0,1,16.79050107,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H022,5,1,1,17.42,1,1,MAQUILA,0,0,13,16.1966056,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H024,5,1,1,17.42,1,1,MAQUILA,0,0,3,16.71610707,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H027,5,1,1,17.42,1,1,MAQUILA,0,0,3,-15903.27273,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H028,5,1,1,17.42,1,1,MAQUILA,0,0,14,-118.1152328,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H030,5,1,1,17.42,1,1,MAQUILA,0,0,5,16.72584055,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H032,5,1,1,17.42,1,1,MAQUILA,0,0,4,16.20789147,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
51PLFX02,,23H035,5,1,1,17.42,1,1,MAQUILA,0,0,15,12.48925729,30/08/2025,0,1,17.42,0,FIBOTAX SIMILARES 10g C/10 SOBRES,,PIEZA,,ALMACEN PT APROBADOS,PRODUCTO TERMINADO,,,
