Cve_factu,No_fac    ,Extra,Falta_fac ,Tiponcc     ,Cve_cte,Saldo_fac           ,Nom_cte                                                                                                                                                                                                                                                       ,Falta_cte ,Lim_cre     ,Dia_cre,Tels                           ,Pagos                         ,Cve_mon   ,U_tip_cam ,Fech_venci,Des_mon                                                                         ,Ident,Grup,Post,Cve_age,Cve_zon   ,Tiponota    ,Total_fac           ,Afectbanco,Nom_zon                                 ,Sinuso1,Total1              ,Total2              ,Total3              ,Total4              ,Total5              ,Concepto       ,Cve_age2,Fenmarca,Im_calc             ,Contrarec 
FAR      ,20519,F    ,26/12/2023,            ,320,13648.83,"AGR OUTSOURCING, S.A. DE C.V.                                                                                                                                                                                                                                 ",18/04/2016,0,30,5701-1447                      ,Elena Zavaleta                ,1,17.059,27/01/2024,PESOS                                                                           ,FAC  ,1,0,33,0,            ,13648.83,F         ,                                        ,F      ,0,13648.83,0,0,0,Factura        ,0,0,0,28/12/2023
FAR      ,20080,F    ,31/10/2023,            ,181,19225.14,ALMA GABRIELA BURGOS JAURENA                                                                                                                                                                                                                                  ,31/08/2012,110000,60,4676-9575                      ,ISABEL MANUELA LOPEZ MARTINEZ ,1,18.0752,12/01/2024,PESOS                                                                           ,FAC  ,1,0,33,0,            ,19225.14,F         ,                                        ,F      ,0,0,0,19225.14,0,Factura        ,0,0,0,13/11/2023
FAR      ,20686,F    ,19/01/2024,            ,181,41392.63,ALMA GABRIELA BURGOS JAURENA                                                                                                                                                                                                                                  ,31/08/2012,110000,60,4676-9575                      ,ISABEL MANUELA LOPEZ MARTINEZ ,1,17.2957,30/01/2025,PESOS                                                                           ,FAC  ,1,0,33,0,            ,41392.63,F         ,                                        ,F      ,41392.63,0,0,0,0,Factura        ,0,0,0,01/12/2024
FAR      ,20055,F    ,31/10/2023,            ,411,94229.84,ASPEN LABS                                                                                                                                                                                                                                                    ,18/12/2020,1000000,60,9126-0860                      ,                              ,1,18.0752,06/02/2024,PESOS                                                                           ,FAC  ,1,0,29,0,            ,94229.84,F         ,                                        ,F      ,94229.84,0,0,0,0,Factura        ,0,0,0,08/12/2023
FAR      ,20058,F    ,31/10/2023,            ,411,95163.96,ASPEN LABS                                                                                                                                                                                                                                                    ,18/12/2020,1000000,60,9126-0860                      ,                              ,1,18.0752,06/02/2024,PESOS                                                                           ,FAC  ,1,0,29,0,            ,95163.96,F         ,                                        ,F      ,95163.96,0,0,0,0,Factura        ,0,0,0,08/12/2023
FAR      ,20060,F    ,31/10/2023,            ,411,94696.9,ASPEN LABS                                                                                                                                                                                                                                                    ,18/12/2020,1000000,60,9126-0860                      ,                              ,1,18.0752,06/02/2024,PESOS                                                                           ,FAC  ,1,0,29,0,            ,94696.9,F         ,                                        ,F      ,94696.9,0,0,0,0,Factura        ,0,0,0,08/12/2023
FAR      ,20319,F    ,30/11/2023,            ,411,94580.14,ASPEN LABS                                                                                                                                                                                                                                                    ,18/12/2020,1000000,60,9126-0860                      ,                              ,1,17.1357,06/02/2024,PESOS                                                                           ,FAC  ,1,0,29,0,            ,94580.14,F         ,                                        ,F      ,94580.14,0,0,0,0,Factura        ,0,0,0,08/12/2023
FAR      ,20320,F    ,30/11/2023,            ,411,94229.84,ASPEN LABS                                                                                                                                                                                                                                                    ,18/12/2020,1000000,60,9126-0860                      ,                              ,1,17.1357,06/02/2024,PESOS                                                                           ,FAC  ,1,0,29,0,            ,94229.84,F         ,                                        ,F      ,94229.84,0,0,0,0,Factura        ,0,0,0,08/12/2023
FAR      ,20321,F    ,30/11/2023,            ,411,94696.9,ASPEN LABS                                                                                                                                                                                                                                                    ,18/12/2020,1000000,60,9126-0860                      ,                              ,1,17.1357,06/02/2024,PESOS                                                                           ,FAC  ,1,0,29,0,            ,94696.9,F         ,                                        ,F      ,94696.9,0,0,0,0,Factura        ,0,0,0,08/12/2023
FAR      ,20322,F    ,30/11/2023,            ,411,94463.37,ASPEN LABS                                                                                                                                                                                                                                                    ,18/12/2020,1000000,60,9126-0860                      ,                              ,1,17.1357,06/02/2024,PESOS                                                                           ,FAC  ,1,0,29,0,            ,94463.37,F         ,                                        ,F      ,94463.37,0,0,0,0,Factura        ,0,0,0,08/12/2023
