No_nota   ,Tip_not      ,Fecha     ,Fec_rea   ,Conc,Cve_factu,No_fac    ,Tot_nota            ,Saldo               ,Nom_cte                                                                                                                                                                                                                                                       ,No_cliente,No_estado ,Iva                 ,Ieps                ,Retisrcre           ,Retiva_not          ,Impto1              ,Impto2              ,Timpto1,Timpto2,Otrosimptos,Subtotal            ,Descuento           ,Cve_mon   ,Des_mon                                                                         ,Tip_cam   ,Cve_age,Nom_age                                 ,Cve_ncre    ,Cve_mov   ,Num_cuenta,Afeban,No_ped    ,Suc_ped,No_rem    ,Suc_rem,4
N1        ,Descuento    ,10/11/2021,  /  /    ,F   ,XAN      ,4,141.94,0,VENTA MENUDEO                                                                                                                                                                                                                                                 ,2,Pagada    ,19.58,0,0,0,0,0,0,0,0,122.36,0,1,PESOS                                                                           ,20.3265,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N2        ,Descuento    ,10/11/2021,  /  /    ,F   ,XAN      ,4,58.8,0,VENTA MENUDEO                                                                                                                                                                                                                                                 ,2,Pagada    ,8.11,0,0,0,0,0,0,0,0,50.69,0,1,PESOS                                                                           ,20.3265,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N3        ,Descuento    ,15/02/2022,  /  /    ,F   ,XAN      ,7,199.81,0,VENTA MENUDEO                                                                                                                                                                                                                                                 ,2,Pagada    ,27.56,0,0,0,0,0,0,0,0,172.25,0,1,PESOS                                                                           ,20.4188,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N4        ,Descuento    ,15/02/2022,  /  /    ,F   ,XAN      ,9,70.2,0,VENTA MENUDEO                                                                                                                                                                                                                                                 ,2,Pagada    ,9.68,0,0,0,0,0,0,0,0,60.52,0,1,PESOS                                                                           ,20.4188,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N5        ,Descuento    ,05/05/2022,  /  /    ,F   ,XAN      ,10,175.5,0,VENTA MENUDEO                                                                                                                                                                                                                                                 ,2,Pagada    ,24.21,0,0,0,0,0,0,0,0,151.29,0,1,PESOS                                                                           ,20.335,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N10       ,Descuento    ,23/05/2022,  /  /    ,F   ,XAN      ,20,379.04,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,52.28,0,0,0,0,0,0,0,0,326.76,0,1,PESOS                                                                           ,19.9267,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N11       ,Descuento    ,23/05/2022,  /  /    ,F   ,XAN      ,12,55066.36,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,7595.36,0,0,0,0,0,0,0,0,47471,0,1,PESOS                                                                           ,19.9267,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N6        ,Descuento    ,23/05/2022,  /  /    ,F   ,XAN      ,34,522,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,72,0,0,0,0,0,0,0,0,450,0,1,PESOS                                                                           ,19.9267,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N7        ,Descuento    ,23/05/2022,  /  /    ,F   ,XAN      ,12,184,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,25.38,0,0,0,0,0,0,0,0,158.62,0,1,PESOS                                                                           ,19.9267,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N8        ,Descuento    ,23/05/2022,  /  /    ,F   ,XAN      ,12,14909.2,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2056.44,0,0,0,0,0,0,0,0,12852.76,0,1,PESOS                                                                           ,19.9267,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N9        ,Descuento    ,23/05/2022,  /  /    ,F   ,XAN      ,12,52313.04,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,7215.59,0,0,0,0,0,0,0,0,45097.45,0,1,PESOS                                                                           ,19.9267,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N12       ,Descuento    ,31/05/2022,  /  /    ,F   ,XAN      ,13,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,19.5965,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N13       ,Descuento    ,31/05/2022,  /  /    ,F   ,XAN      ,13,17534.9,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2418.61,0,0,0,0,0,0,0,0,15116.29,0,1,PESOS                                                                           ,19.5965,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
