No_nota   ,Tip_not      ,Fecha     ,Cve_factu,No_fac    ,Tot_nota            ,Saldo               ,Nom_cte                                                                                                                                                                                                                                                       ,No_cliente,No_estado ,Iva                 ,Ieps                ,Retisrcre           ,Retiva_not          ,Impto1              ,Impto2              ,Timpto1,Timpto2,Otrosimptos,Subtotal            ,Descuento           ,Cve_mon   ,Des_mon                                                                         ,Tip_cam   ,Cve_age,Nom_age                                 ,Cve_ncre    ,Cve_mov   ,Num_cuenta,Afeban,No_ped    ,Suc_ped,No_rem    ,Suc_rem,Cse_prod  ,Cve_prod            ,Desc_prod                               ,New_med,Unidad,Cantidad            ,Valor_prod          ,Dcto1       ,Dcto2       ,Costo_prom          ,Lote                          ,Ref_lote                 ,Desc_med                                ,Lote_ext001                   
N1        ,Dev. Just.   ,07/02/2014,FAR      ,113,39685.7,0,REMEDIO S.A. DE C.V.                                                                                                                                                                                                                                          ,110,Pagada    ,0,0,0,0,0,0,0,0,0,39685.7,0,1,PESOS                                                                           ,13.2211,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,1145,34.66,0,0,17645.05571,14B0010                       ,                         ,                                        ,14B0010                       
N2        ,Dev. Just.   ,11/02/2014,FAR      ,92,0,0,ROSARIO MENDOZA MACEDO                                                                                                                                                                                                                                        ,8,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.3134,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBPK01            ,PROBIO KIDS / 30 TABS.                  ,       ,PZA   ,17,0.000001,0,0,93.84,13F0058                       ,                         ,                                        ,13F0058                       
N2        ,Dev. Just.   ,11/02/2014,FAR      ,92,3699.19,0,ROSARIO MENDOZA MACEDO                                                                                                                                                                                                                                        ,8,Pagada    ,510.2328,0,0,0,0,0,0,0,0,3188.955,2609.145,1,PESOS                                                                           ,13.3134,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBPK01            ,PROBIO KIDS / 30 TABS.                  ,       ,PZA   ,165,35.14,0,0,910.8,13F0058                       ,                         ,                                        ,13F0058                       
N3        ,Dev. Just.   ,11/02/2014,FAR      ,49,124.78,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,0,0,0,0,0,0,0,0,0,124.776,83.184,1,PESOS                                                                           ,13.3134,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,6,34.66,0,0,103.6789383,14A0003                       ,                         ,                                        ,14A0003                       
N4        ,Dev. Just.   ,12/02/2014,FAR      ,96,4384.02,0,VICMA S.A. (INCOBRABLE)                                                                                                                                                                                                                                       ,20,Pagada    ,604.692,0,0,0,0,0,0,0,0,3779.325,3092.175,1,PESOS                                                                           ,13.2916,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TNCI02            ,CASTAN DE INN /50 TABS.                 ,       ,PZA   ,150,45.81,0,0,942,12K0160                       ,                         ,                                        ,12K0160                       
N4        ,Dev. Just.   ,12/02/2014,FAR      ,96,0,0,VICMA S.A. (INCOBRABLE)                                                                                                                                                                                                                                       ,20,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.2916,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TNCI02            ,CASTAN DE INN /50 TABS.                 ,       ,PZA   ,15,0.000001,0,0,94.2,12K0160                       ,                         ,                                        ,12K0160                       
N5        ,Dev. Just.   ,12/02/2014,FAR      ,119,346.6,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,346.6,0,1,PESOS                                                                           ,13.2916,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,10,34.66,0,0,154.10529,14B0011                       ,                         ,                                        ,14B0009                       
N5        ,Dev. Just.   ,12/02/2014,FAR      ,119,2110.97,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,291.168,0,0,0,0,0,0,0,0,1819.8,0,1,PESOS                                                                           ,13.2916,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBAF01            ,ARTRIFORTE /30 TABS.                    ,       ,PZA   ,30,60.66,0,0,475.0071,14B0009                       ,                         ,                                        ,14B0009                       
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,196.29,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,27.07488,0,0,0,0,0,0,0,0,169.218,72.522,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51CPPS01            ,PASSITILX-3 /30 CAPS.                   ,       ,PZA   ,6,40.29,0,0,44.88,12H0104-R                     ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,0,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VI        ,51TBNS01            ,NATUKROLL SILVER / 60 TABS.             ,       ,PZA   ,10,0.000001,0,0,77.8,13I0078                       ,                         ,                                        ,CAG13K0076                    
