Cve_prod            ,New_med,Lote                          ,Lugar     ,Cve_monc  ,Tip_cam   ,Cto_ent             ,Stalote,Cve_tial  ,Cse_prod  ,Fact_peso     ,Ind_med,Existencia          ,Cosprom             ,Fech_venc ,Diasvida,Cve_monc2 ,Cto_ent2            ,Peso_tot            ,Desc_prod                               ,Codbar              ,Uni_med,Lista_med   ,Des_lug                                 ,Des_tial                                ,Otrodl1                                                                                             ,Otrodl2                                                                                             ,Desc_med                                
MPA-0092            ,       ,MP20384                       ,1,1,1,132.21525,1,2,ACTIVO    ,0,0,7.08,18.58145763,  /  /    ,0,1,132.21525,0,ACIDO TARTÁRICO                         ,                    ,KG     ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIA PRIMA                           ,                                                                                                    ,                                                                                                    ,                                        
MPA-0308            ,       ,MP210249                      ,1,1,1,257.7664,1,2,ACTIVO    ,0,0,0.00909,196.44385,26/11/2023,0,1,257.7664,0,COLAGENO HIDROLIZADO GRANULAR (OBSOLETO),                    ,KG     ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIA PRIMA                           ,                                                                                                    ,                                                                                                    ,                                        
MPE-0029            ,       ,MP201019                      ,1,1,1,70.23275,1,2,ACTIVO    ,0,0,20.7,70.3542,18/02/2023,0,1,70.23275,0,TALCO USP                               ,                    ,KG     ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIA PRIMA                           ,                                                                                                    ,                                                                                                    ,                                        
MPE-0029            ,       ,MP20681                       ,1,1,1,70.23275,1,2,ACTIVO    ,0,0,1.98,75.73405,28/02/2023,0,1,70.23275,0,TALCO USP                               ,                    ,KG     ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIA PRIMA                           ,                                                                                                    ,                                                                                                    ,                                        
MPD-0008            ,       ,MP210061                      ,1,1,1,32.49798,1,2,ADITIVO   ,0,0,0.005,26.24726,31/07/2023,0,1,32.49798,0,ACIDO CITRICO ANHIDRO                   ,MPD000825KG         ,KG     ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIA PRIMA                           ,                                                                                                    ,                                                                                                    ,                                        
MPD-0077            ,       ,MP20428                       ,1,1,1,475.9902,1,2,ADITIVO   ,0,0,12.59,475.9902,25/12/2020,0,1,475.9902,0,SABOR FRESA 915.70101                   ,                    ,KG     ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIA PRIMA                           ,                                                                                                    ,                                                                                                    ,                                        
MPE-0023            ,       ,MP210124                      ,1,1,1,75.011475,1,2,ADITIVO   ,1,0,0.00956,85.9554,20/07/2022,0,1,75.011475,0.00956,ISOMALTULOSA                            ,                    ,KG     ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIA PRIMA                           ,                                                                                                    ,                                                                                                    ,                                        
MEP-0076            ,       ,ME20286                       ,1,1,1,10.9,1,3,BOBINA    ,0,0,1697,12.86560731,08/10/2021,80,1,10.9,0,BOLSA STAND POUCH COLAGENO 3g FRESA     ,                    ,PIEZA  ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIAL DE ACONDICIONAMIENTO           ,                                                                                                    ,                                                                                                    ,                                        
51PLCF01            ,V99    ,21B0064                       ,1,1,1,59.657261,1,200,CP        ,0,4,167,59.9141014,28/02/2023,0,1,59.657261,0,COLAGENER 3 G FRESA (OBSOLETO)          ,                    ,PZA    ,VERSION     ,(NO USAR)***CUARENTENA MP Y ME          ,Productos Obsoletos                     ,                                                                                                    ,                                                                                                    ,Vigente                                 
51PLCF01            ,V99    ,21F0225                       ,1,1,1,59.657261,1,200,CP        ,0,4,591,57.98487419,30/06/2023,0,1,59.657261,0,COLAGENER 3 G FRESA (OBSOLETO)          ,                    ,PZA    ,VERSION     ,(NO USAR)***CUARENTENA MP Y ME          ,Productos Obsoletos                     ,                                                                                                    ,                                                                                                    ,Vigente                                 
