Cve_copr            ,Cve_prod            ,Can_copr            ,Tip_copr,New_med,New_copr,Partida,Fcdfor      ,Undfor,Prov_med  ,Desc_prod                                                                       ,Unibse,Cve_mon   ,Cto_rep             ,Partform  ,Ind_med,Cve_tial  ,Tipcam    ,Tip_cam   ,Ren_copr            ,Esp_copr            ,Gas_copr            ,Porcadvalo,Cto_ent             ,Cve_monc            ,Uncfor,Cunbse,Lista_med   ,Desc_med                                ,Fec_ent   ,Desc_prod_ext001                        
 41TBZA01           ,MPA-0245,28.35,1,       ,        ,1,1,KG    ,1,VITAMINA C  RECUBIERTA                                                          ,KG    ,1,233.00955,1,0,2,1,1,94500,0,0,0,233.00955,1,TABS  ,TABS  ,            ,                                        ,19/02/2025,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPA-0078,13.1884,1,       ,        ,2,1,KG    ,1,GLUCONATO DE ZINC                                                               ,KG    ,1,254.66625,1,0,2,1,1,94500,0,0,0,254.66625,1,TABS  ,TABS  ,            ,                                        ,21/02/2025,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPA-0424,0.3497,1,       ,        ,3,1,KG    ,1,VITAMINA D3                                                                     ,KG    ,1,1103.889759,1,0,2,1,1,94500,0,0,0,1103.889759,1,TABS  ,TABS  ,            ,                                        ,27/03/2025,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPA-0316,4.725,1,       ,        ,4,1,KG    ,1,ACEROLA EN POLVO                                                                ,KG    ,1,1224.067,1,0,2,1,1,94500,0,0,0,1224.067,1,TABS  ,TABS  ,            ,                                        ,25/01/2023,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPE-0068,1.7861,1,       ,        ,5,1,KG    ,1,ESTEARATO DE MAGNESIO USP/NF,KG    ,1,68.844798,1,0,2,1,1,94500,0,0,0,68.844798,1,TABS  ,TABS  ,            ,                                        ,17/02/2025,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPE-0055,2.6791,1,       ,        ,6,1,KG    ,1,CROSCARMELOSA SODICA                                                            ,KG    ,1,328.6352,1,0,2,1,1,94500,0,0,0,328.6352,1,TABS  ,TABS  ,            ,                                        ,23/01/2025,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPE-0060,0.446,1,       ,        ,7,1,KG    ,1,DIOXIDO DE SILICIO COLOIDAL USP(HDK N20),KG    ,1,445.14675,1,0,2,1,1,94500,0,0,0,445.14675,1,TABS  ,TABS  ,            ,                                        ,13/01/2025,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPE-0039,26.4383,1,       ,        ,8,1,KG    ,1,CELULOSA MICROCRISTALINA PH 102,KG    ,1,79.13958,1,0,2,1,1,94500,0,0,0,79.13958,1,TABS  ,TABS  ,            ,                                        ,11/03/2025,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPE-0109,11.3306,1,       ,        ,9,1,KG    ,1,LACTOSA SPRAY DRIED,KG    ,1,172.53348,1,0,2,1,1,94500,0,0,0,172.53348,1,TABS  ,TABS  ,            ,                                        ,23/01/2025,"VITAMINA C, D, Zn Y ACEROLA             "
 41TBZA01           ,MPD-0052,0.0095,1,       ,        ,10,1,KG    ,1,COLOR NARANJA CGV17919P                                                         ,KG    ,1,241.4766,1,0,2,1,1,94500,0,0,0,241.4766,1,TABS  ,TABS  ,            ,                                        ,27/02/2024,"VITAMINA C, D, Zn Y ACEROLA             "
41CPAZ01            ,MPA-0308,90,1,       ,        ,2,1,KG    ,1,COLAGENO HIDROLIZADO GRANULAR (OBSOLETO)                                        ,KG    ,1,257.7664,7,0,2,1,1,54000,0,0,0,257.7664,1,TABS  ,TABS  ,            ,                                        ,07/09/2022,AZVIT CON 30 CAPSULAS ST                
41CPAZ01            ,MPD-0104,0.297,1,       ,        ,3,1,KG    ,1,LACA AMARILLA Nº 5 D/C                                                          ,KG    ,1,263.0719,7,0,2,1,1,54000,0,0,0,263.0719,1,TABS  ,TABS  ,            ,                                        ,18/12/2024,AZVIT CON 30 CAPSULAS ST                
41CPAZ01            ,MPE-0060,0.666,1,       ,        ,4,1,KG    ,1,DIOXIDO DE SILICIO COLOIDAL USP(HDK N20),KG    ,1,445.14675,7,0,2,1,1,54000,0,0,0,445.14675,1,TABS  ,TABS  ,            ,                                        ,13/01/2025,AZVIT CON 30 CAPSULAS ST                
41CPAZ01            ,MPE-0068,1.8,1,       ,        ,5,1,KG    ,1,ESTEARATO DE MAGNESIO USP/NF,KG    ,1,68.844798,7,0,2,1,1,54000,0,0,0,68.844798,1,TABS  ,TABS  ,            ,                                        ,17/02/2025,AZVIT CON 30 CAPSULAS ST                
41CPAZ01            ,MPE-0055,1.8,1,       ,        ,6,1,KG    ,1,CROSCARMELOSA SODICA                                                            ,KG    ,1,328.6352,7,0,2,1,1,54000,0,0,0,328.6352,1,TABS  ,TABS  ,            ,                                        ,23/01/2025,AZVIT CON 30 CAPSULAS ST                
