Cve_suc,No_ped    ,F_alta_ped,Cve_cte,Nom_cte                                                                         ,Status         ,Status2        ,Cve_age,Cve_age2,Suc_cot,No_cot    ,Cve_prod            ,New_med,Uni_ped,Factor      ,Fecha_ent_a,Fol_prod,Ped_int           ,Cve_mon   ,Tip_cam   ,Lugar     ,Cant_prod           ,Cant_surtp          ,Liquidado           ,Saldo               ,Valor_prod          ,Uni_med,Desc_prod                               ,Nom_age                                 ,Nom_age2                                ,Des_mon                                 ,Submonped           ,Submonnac           ,Porcsurt            ,Psurtie             ,Cansurtie           ,Porcsurtot,Fecultsur ,Fecha_ent_b,Docsurt   ,Diastrans ,Desc_med                                
MAT    ,10114,21/06/2023,435,PHARMA PLUS SA DE CV                                                            ,Surtido        ,Confirmado     ,4,0,       ,0,51CPDL01            ,       ,PZA    ,1,21/06/2023,6,7000074457,1,17.0945,5,524,490,34,0,144,PZA    ,DIALAVIT C/30 CAPS                      ,DIRECTO                                 ,                                        ,PESOS                                   ,75456,75456,94%,0%,0,0,22/06/2023,21/06/2023,01/01/1900,01/01/1900,                                        
MAT    ,10114,21/06/2023,435,PHARMA PLUS SA DE CV                                                            ,Surtido        ,Confirmado     ,4,0,       ,0,51CPQR01            ,V99    ,PZA    ,1,21/06/2023,4,7000074457,1,17.0945,5,13,13,0,0,223.58,PZA    ,QUERCETINA CAPS 500MG C/60              ,DIRECTO                                 ,                                        ,PESOS                                   ,2906.54,2906.54,100%,0%,0,0,22/06/2023,21/06/2023,01/01/1900,01/01/1900,Vigente                                 
MAT    ,10114,21/06/2023,435,PHARMA PLUS SA DE CV                                                            ,Surtido        ,Confirmado     ,4,0,       ,0,51CPVB02            ,V99    ,PZA    ,1,21/06/2023,1,7000074457,1,17.0945,5,250,250,0,0,76.16,PZA    ,VITABIOM Q10 /30 CAPS.                  ,DIRECTO                                 ,                                        ,PESOS                                   ,19040,19040,100%,0%,0,0,22/06/2023,21/06/2023,01/01/1900,01/01/1900,Vigente                                 
MAT    ,10114,21/06/2023,435,PHARMA PLUS SA DE CV                                                            ,Surtido        ,Confirmado     ,4,0,       ,0,51GOVA01            ,V99    ,PZA    ,1,21/06/2023,3,7000074457,1,17.0945,5,94,0,94,0,167.54,PZA    ,GOMITAS DE ASHWAGANDHA                  ,DIRECTO                                 ,                                        ,PESOS                                   ,15748.76,15748.76,0%,0%,0,0,  /  /    ,21/06/2023,0,0,Vigente                                 
MAT    ,10114,21/06/2023,435,PHARMA PLUS SA DE CV                                                            ,Surtido        ,Confirmado     ,4,0,       ,0,51PLCV03            ,       ,PIEZA  ,1,21/06/2023,7,7000074457,1,17.0945,5,200,200,0,0,99.13,PIEZA  ,C-VYM CERO AZUCAR C/11 SOBRES           ,DIRECTO                                 ,                                        ,PESOS                                   ,19826,19826,100%,0%,0,0,22/06/2023,21/06/2023,01/01/1900,01/01/1900,                                        
MAT    ,10114,21/06/2023,435,PHARMA PLUS SA DE CV                                                            ,Surtido        ,Confirmado     ,4,0,       ,0,51PLSK01            ,       ,PZA    ,1,21/06/2023,8,7000074457,1,17.0945,5,80,0,80,0,273.16,PZA    ,SKIN 30 SOBRES 12G                      ,DIRECTO                                 ,                                        ,PESOS                                   ,21852.8,21852.8,0%,0%,0,0,  /  /    ,21/06/2023,0,0,                                        
MAT    ,10114,21/06/2023,435,PHARMA PLUS SA DE CV                                                            ,Surtido        ,Confirmado     ,4,0,       ,0,51TBBH01            ,V99    ,PZA    ,1,21/06/2023,5,7000074457,1,17.0945,5,344,344,0,0,89.66,PZA    ,BIOVIT FOR MEN FRASCO CON 30 TABLETS    ,DIRECTO                                 ,                                        ,PESOS                                   ,30843.04,30843.04,100%,0%,0,0,22/06/2023,21/06/2023,01/01/1900,01/01/1900,Vigente                                 
MAT    ,10114,21/06/2023,435,PHARMA PLUS SA DE CV                                                            ,Surtido        ,Confirmado     ,4,0,       ,0,51TBPK01            ,V99    ,PZA    ,1,21/06/2023,2,7000074457,1,17.0945,5,50,50,0,0,47.23,PZA    ,PROBIO KIDS / 30 TABS.                  ,DIRECTO                                 ,                                        ,PESOS                                   ,2361.5,2361.5,100%,0%,0,0,22/06/2023,21/06/2023,01/01/1900,01/01/1900,Vigente                                 
MAT    ,10115,21/06/2023,373,PHARMA AMIGO SA DE CV                                                           ,Surtido        ,Confirmado     ,27,0,       ,0,51CPVF01            ,V99    ,PZA    ,1,21/06/2023,1,4500126505,1,17.0945,5,450,450,0,0,43.25,PZA    ,BIOMIVIT 400 30 / CAPS                  ,MEXICO                                  ,                                        ,PESOS                                   ,19462.5,19462.5,100%,0%,0,0,23/06/2023,21/06/2023,01/01/1900,02/01/1900,Vigente                                 
MAT    ,10115,21/06/2023,373,PHARMA AMIGO SA DE CV                                                           ,Surtido        ,Confirmado     ,27,0,       ,0,51CPVT03            ,V99    ,PZA    ,1,21/06/2023,6,4500126505,1,17.0945,5,150,150,0,0,50.79,PZA    ,VITEM 3RA /30 CAPS.                     ,MEXICO                                  ,                                        ,PESOS                                   ,7618.5,7618.5,100%,0%,0,0,23/06/2023,21/06/2023,01/01/1900,02/01/1900,Vigente                                 
MAT    ,10115,21/06/2023,373,PHARMA AMIGO SA DE CV                                                           ,Surtido        ,Confirmado     ,27,0,       ,0,51GLVA04            ,       ,PZA    ,1,21/06/2023,8,4500126505,1,17.0945,5,50,50,0,0,49.8,PZA    ,VANESIR GEL 200 G                       ,MEXICO                                  ,                                        ,PESOS                                   ,2490,2490,100%,0%,0,0,23/06/2023,21/06/2023,01/01/1900,02/01/1900,                                        
MAT    ,10115,21/06/2023,373,PHARMA AMIGO SA DE CV                                                           ,Surtido        ,Confirmado     ,27,0,       ,0,51PLCV01            ,       ,PIEZA  ,1,21/06/2023,3,4500126505,1,17.0945,5,300,300,0,0,54.21,PIEZA  ,C-VYM NARANJA-MANDARINA C/11 SOBRES     ,MEXICO                                  ,                                        ,PESOS                                   ,16263,16263,100%,0%,0,0,23/06/2023,21/06/2023,01/01/1900,02/01/1900,                                        
MAT    ,10115,21/06/2023,373,PHARMA AMIGO SA DE CV                                                           ,Surtido        ,Confirmado     ,27,0,       ,0,51TBBF02            ,V99    ,PZA    ,1,21/06/2023,7,4500126505,1,17.0945,5,150,150,0,0,34.36,PZA    ,BIOFOLIC 400 / 60 TABS.                 ,MEXICO                                  ,                                        ,PESOS                                   ,5154,5154,100%,0%,0,0,23/06/2023,21/06/2023,01/01/1900,02/01/1900,Vigente                                 
MAT    ,10115,21/06/2023,373,PHARMA AMIGO SA DE CV                                                           ,Surtido        ,Confirmado     ,27,0,       ,0,51TBCK03            ,V99    ,PZA    ,1,21/06/2023,5,4500126505,1,17.0945,5,200,200,0,0,32.75,PZA    ,C-KIDS C/30 TABS.                       ,MEXICO                                  ,                                        ,PESOS                                   ,6550,6550,100%,0%,0,0,23/06/2023,21/06/2023,01/01/1900,02/01/1900,Vigente                                 
